Teams
368
498
589
812
1011
1266
1538
1572
1622
1661
1709
1967
1972
2102
2496
2543
2658
2827
2839
2984
3021
3309
3473
3476
3704
3749
3863
3880
3881
4014
4056
4079
4139
4160
4322
4355
4400
4415
4486
4603
4616
4619
5474
5477
5514
5627
5857
6072
6560
6668
6823
6833
6918
6995
7102
7441
7447
8269
